customer_message,expected_escalation,predicted_escalation,intent,confidence,reasons
"@ComcastCares
#mobile_CareXI my wifi/voice has gone out every day this week. Any thoughts?",AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
"😠 when you're trying to find out if @116072 offers anything better than the 1.5 MBPS DSL that you've had for years, or if @115900 offers coverage in your area at all, and both websites LOLWUT at your address. Sick of rural areas getting shafted by service providers.",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.65,
"@116136 #Internetspeed  sucks, #cellular  edge connection is much faster then Comcast speed #bayarea effect of #Monopoly",AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
"@VerizonSupport Pretty pathetic, right @115725? This is @116136 high speed Internet. #zero https://t.co/ZtTgnxs5BY",AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
@comcastcares Xfi tells me I need to upgrade.  Directs me to link that says I have upgraded.  Still tells me I need upgrade.  How do I get past? https://t.co/8Y3I3khMKl,AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
"@ComcastCares
#mobile_Care I make a double payment on my account and they told me that they was going to refund the second payment back to my debit card but it still nothing there?",ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.95,
"@116136 @comcastcares my internet goes out EVERY day at least once. I’ve upgraded, had techs out, and nothing helps. HELP!!!",AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
Fucking see you later @116136. The fact that I deal with speed issues on a weekly basis is why everyone fucking hates you. Paying for 100Mbps and getting 15. Got a new modem and restarted it yesterday. You're the worst https://t.co/s5eG6BAL6g,ESCALATE,ESCALATE,PAYMENT_ISSUE,0.95,Customer appears highly frustrated
.@comcastcares when are you going to fix the internet speed problem? Feel like I am stuck in a time warp. #UploadDownloadReallySlow #Comcast,AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
"@comcastcares Going to keep post my internet speed tests until you stop throttling our internet speeds. 
Context: One computer browsing facebook. No streaming video. 
#comcast https://t.co/Aynx9PFcrG",AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
@comcastcares I've talked to 3 or 4 agents. I upgraded to 1GB service. Apparently I get no real connection until the GB equipment is installed. Unfortunate. Unhappy.,AUTO_HANDLE,ESCALATE,PLAN_CHANGE,0.65,Customer requested a human agent
@comcastcares  my bill went up 60% and customer service said if I drop my internet speed by half they could save me $1. Is this accurate?,AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
"@comcastcares you guys have outage in fishers,in?",AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.65,
"Well. Both AT&amp;T and Comcast are not available in my area :(
I don't think I can get gigabit internet",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.95,
It’s quite possible that @116136 is the worst customer service I’ve ever experienced. It definitely is up there in the top five. Were it not for being limited by providers I would cancel the account today. #garbage,ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
Tired of being let down from @116136 ..Funny how @116136 processed my payment on time though. https://t.co/OORwEX4Nc2,ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.65,
@comcastcares Does Comcast make it a habit to lie to customers regarding billing? The numbers don’t add up. https://t.co/n2zfvzBE6b,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.8,
"@116136 &amp; @comcastcares Well going on 2 weeks with this issue. Even after talking to the Corp office, still no resolution. The MER/BER need to be fixed. My RTM ticket keeps getting canceled. SMH https://t.co/pkH1SgTNkB",AUTO_HANDLE,ESCALATE,CANCELLATION,0.65,Customer appears highly frustrated
Me: Fine. I won’t cancel. @comcastcares I’m sorry. We don’t service your address. 😂😂😂,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
@comcastcares Fuck you im suing pussies and will slander you too everyone you charged me a late fee when I was never late fuck you die slow,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.95,
@115900 YOUR CRAP INTERNET IS SLOW AND I HAVE NO TV IN THE NEW PAL AREA! I'M GETTING A DAMN FIRESTICK! I'VE HAD IT WITH YOUR BS SERVICE!,AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
@comcastcares New customer 8/17..love the voice remote &amp; on demand but install was/is terrible..3 tickets cancelled with no shows on repairs https://t.co/axDl4OXcJF,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
@comcastcares Please call me. I pay $4k a year services and I cant map my accounts to each service address. I am not sitting on the phone with you anymore,ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
"@ComcastCares
#mobile_Care been trying to pay my bill online since yesterday. App and website are not working. I spoke to customer service via chat yesterday and Irene said it would be fixed. I don’t want to be charged a late fee for your website issues.",ESCALATE,ESCALATE,PAYMENT_ISSUE,0.95,Customer appears highly frustrated
@comcastcares I don't see how you can help. The menu for season 5 has the season 4 finale listed instead of the first episode of season 5. How could it possibly be an issue with the account and not the service?,ESCALATE,ESCALATE,ACCOUNT_ISSUE,0.65,Customer appears highly frustrated
"@comcastcares Is Webmail going to work at all today? Ever? 

This upgrade is an epic fail. I am sure I am not the first person to tell you that.",AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
Hey @comcastcares the next time you want to send someone out to disconnect my service you should probably send a bill first 🤷🏾‍♀️,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
@116136 I appreciate this outage and how it's impeding my college work. Can't wait to vote tomorrow 😋,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.65,
@116136 worst service ever. Constantly goes out. If there was another service available in my area I would definitely no longer be a customer. Makes it really hard to stay on schedule with my online classes. I'm so frustrated,AUTO_HANDLE,ESCALATE,SERVICE_AVAILABILITY,0.95,Customer appears highly frustrated
@comcastcares I’ll wait until the morning and reply back if there is still a problem.  There was an outage last night also for “scheduled maintenance” as well so I’m not happy.,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.65,
"@ComcastCares
#mobile_CareXI Why is my internet speed so slow? At this time of night/morning (12:20 am)? What gives?",AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
"@ComcastCares
#mobile_CareXI is there a problem with service in my area 48066?",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.95,
@116136 I know you're deliberately throttling internet speeds. Stop this shit or I'm finding another provider. This is bullshit.,AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
"Um, @115900, I just received this text from you &amp; A: I don’t have an account and B: link doesn’t look legit. Didn’t see a way to report this on your website. #scamalert https://t.co/BsdDuXZWjh",ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
.@116136 internet speed issues in Minneapolis?,AUTO_HANDLE,ESCALATE,SLOW_INTERNET,0.95,Customer appears highly frustrated
@comcastcares is there another outage in Denver? unplugged / restarted my internet &amp; cable 2x already and still no service - out for past hr,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
@116136 @115900 @comcastcares  #tomkarinshak I pay my bill on the 1st of every month &amp; I am always past due because #Comcast wants 2 mths payment ahead - why do I need to pay 2 mths in advance? #ridiculous #ripoff #poorservice #,ESCALATE,ESCALATE,PAYMENT_ISSUE,0.95,Customer appears highly frustrated
@115900 I had a late fee assessed that I need reversed. I enrolled in auto pay and Comcast didn’t see it my account.,ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.8,
@comcastcares There was also the inconvenience of having to spend $15 a gig for my cell phone plane because I had no WiFi at home and had to use my data,AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
".@116136 continues to be the worst. I have Xfinity in Jersey City, and I can't watch the #SJUBB because Xfinity doesn't carry FS2. Not even a matter of it not being in my package, I'd pay for it if necessary, but they just don't offer it. Can't stream either CC: @118034",ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.95,
@115900 Outage in san francisco. Any timeline on when tv will be fixed?,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.65,
@comcastcares is there an outage in state college pa? No channels are working,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.65,
@comcastcares Hi thanks for reaching out...I don't have an account.a person dropped by with the offer advertisement,ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
"Thank you, @115900!  You started drafting money from my bank account, even though I don’t have an account with you any longer, and refuse to help. Now I have to wait 7-10 days for a new debit card to stop your fraudulent drafts.",ESCALATE,ESCALATE,PAYMENT_ISSUE,0.8,Possible security or privacy concern
"@comcastcares hi there, my internet is completely down at my business in Seattle. Was working less than an hour ago.",AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
@comcastcares your service is horrible given what I pay each month for JUST internet! Can't even stream a music video without service interruption. Looking for a new provider. #OverIt #Comcast #ConnectionIssues,ESCALATE,ESCALATE,PAYMENT_ISSUE,0.95,Customer appears highly frustrated
"@115900 @ComcastCares I'm trying to sign up for your fucking internet, which is the only cable internet offered in my city, and your website says it's unavailable in my area. How the hell is this possible?",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.95,
Our Internet down AGAIN on Thanksgiving day!  This is the msg we get on TV. This problem  happened about 4 months ago/ got new modem. We go thru Comcast modems like babies go thru diapers/now we have to wait until Sun. We pay for internet phone/TV &amp; #Comcast #Xfinity STINK STINK https://t.co/dAyFqFeqPo,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
South Park on demand lasting 34 mins so they can squeeze in an extra 4 minutes of commercials makes me want to cancel @116136,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
@115900 I sign in 2 email. 45 sec to 1 minute for my email to open. Just sit there and watch the circle go round and round.,ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.8,
@116136 I pay for HBO. HBO isn't working cause you are updating my account. https://t.co/PYeV1sRDRW,ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
wtf. @comcastcares raised my bill AGAIN. time to cancel 😒😒,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
Ugh @115900 why is my Internet/Wi-Fi  out again!,AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
"Help @comcastcares When we signed up for service we were told there were no early cancellation fees if we moved, now they're saying we owe $600.",AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.8,
"@comcastcares Your LPGA coverage is showing the SLIME Darby, instead of SIME Darby; really?
@31868",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.65,
@comcastcares literally have been on the phone for 20 minutes trying to cancel a subscription... 😡😡😡,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
@comcastcares @127249 ugh.. how long this national dns outage for??,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.65,
"@116136 Why is the *upgrade* offer I received restricted to ""new residential customers only""?  Am I eligible or not?  Paradox much?",AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
"@comcastcares is there currently an outage in West Palm Beach, FL? I've tried restarting my modem and i still have no service",AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.65,
@comcastcares If my shit isn't up running by AM I'm cancelling my service w you pricks. I've been a loyal concatenation customer for 20 yrs!,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
"@ComcastCares
#mobile_Care
I want to cancel my appointment for tomorrow",AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
"@ComcastCares
#mobile_Care why is there a damn tv or internet outage every other day why am I paying this kind of money for this bad service",AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
@VerizonSupport Well thanks. I’m almost there. If it’s not fixed this week I’ll be switching once I get a good price comparison. And to think I have been a @116136 customer for over 6 years. Well maybe @115722 has better customer service.,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
A major internet cable and phone company @116136 got the Buckhead Howell Mill area out of  Service SMH with no explanation,AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
"NBC, @115900 what is going on tonight!? Couldn’t watch Breaking News coverage of NYC terror attacks on @119731 and now @862 all because of sound problems. National staple network, get your act together.",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.65,
@116136 my internet service has been bad all day... my bill too high for bad service. I got things to do. 😩,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
@comcastcares Uh no... make outages public please,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.65,
@comcastcares … how do you SIGN OUT of online mail? The Sign Out button is no longer working … it’s Sign In. I can’t find SIGN OUT anymore,ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.8,
@comcastcares still waiting to get my bill fixed,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
@comcastcares 4 service outages in 4 days. Glad I pay for internet that goes out everyday.,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
@Comcastcares I need to cancel the online tv service that was added to my account. Can you hellp?,ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
@comcastcares Looks like I'm going to have to cancel Comcast after the 1st of the year. Very low income. Can't afford $50/mo 😢,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
.@116136 is having a bad week in Seattle. @45395 isn’t available in my area. 🤔,AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.95,
"@115900 Why do people keep calling me after I cancelled my service? Third call in a week now. I moved and switched service, please stop calling.",AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
How is it that @369177 can charge $192 for the same service @115900 charges $256?,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
@comcastcares Need some help setting up 2 wireless cameras on the Comcast router,AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
"@comcastcares Yes, thank you. Yet those networks require me to log in with Comcast/Xfinity or I can't watch via their app.  Contracts or not, I don't get why the ageeement is not reciprocal.",ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.8,
@comcastcares Someone better be reaching out to me or I am cancelling services. I have spent over 3 hours on the phone and have been repeatedly lied to,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
@comcastcares You charge an arm and a leg for pretty much basic cable,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
Missing @5185 because @116136 has been dropping all of our network coverage once a day for going on 2 weeks.,AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.65,
@116136 Make your service available in my area. What's worse? Districting services and giving people one option or throttling? Both are equally bad,AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.95,
@115900 care to explain to me why my WiFi doesn’t work when it says i’m connected?! connections been slow af for past 2 days.,AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
I've had @115900 1 since Sept16 but can't upgrade system because I have $700 in bought movies that will disappear.. that's theft @116136,AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
Re: Stunningly poor IPv6 tech support - Modem in Bridge Mode for IPv6 assignment https://t.co/ECRuluAXcH #comcastcares #fail,AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
"@ComcastCares
#mobile_CareXI my WiFi has been out for over an hour 🤬😑",AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
".@comcastcares PLS HELP just moved, called and upgraded, got Jew equip. US/DS issue and calls keep being CUT after requesting robodiagnostics #argh",AUTO_HANDLE,ESCALATE,PLAN_CHANGE,0.65,Customer appears highly frustrated
"This is BS @comcastcares : 2.2 Mbps download, 0.9 Mbps upload. Via #GoogleWifi",AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
@115900 do you know why the MSG Network is down? I get a blank screen and am missing the Knicks game,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
About to explode...😡 @116136 or @115900 or whatever they are called now has the most terrible customer service on the face of the planet!,AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
@comcastcares Say that I only have 1 week to cancel. But I've already used up my seasonal hold because I have been displaced for so long.,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
"@116136 Absolutely horrible service, couldn't watch college football yesterday, now I can't watch the NFL, what am I paying for?!?",ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.95,
@comcastcares My internet and tv cable crashed last night and tonight at 8pm. It’s now 11:30 still down.,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
"@116136 any outages in the woodstock, ga area that we should know about? internet has been down for over a day ... #frustrating",AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
@116136 Why don’t you broadcast @90327 #sumo coverage in HD in the Washington DC area?,AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.65,
You've got to be kidding me @115900. Service goes out during #WorldSeriesGame7! I would cancel if my apt allowed anything else. #youretrash,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
"Over a month ago I️ reached out to @115900 for a new top box and some internet speed/connectivity issues. Still don’t have a new box, Nothing has been done, no one has contacted us. I️ am tired of paying @89342 and @115900 I️ only need one TRASH service.",AUTO_HANDLE,ESCALATE,SLOW_INTERNET,0.95,Customer appears highly frustrated
attempting to get @115900 internet and I'm already furious. WHY CAN'T I MAKE AN ACCOUNT???????,ESCALATE,ESCALATE,ACCOUNT_ISSUE,0.65,Customer appears highly frustrated
@115900 just saw an ad that WiFi speeds will double. When will this happen?,AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
@comcastcares could you tell me why my internet is running extremely slow?,AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
"@ComcastCares
#mobile_CareXI
Is there an outage?",AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.65,
@comcastcares you guys better fix your internet. I can’t even connect to my own WiFi to send you this tweet. It’s getting ridiculous,AUTO_HANDLE,ESCALATE,TECHNICAL_ISSUE,0.65,Customer appears highly frustrated
@116136 this is bullshit my plan is unlimited and you fucks are charging me extra money for going over my data what fucking data I'm suppose to have unlimited,AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
@comcastcares Happy to remind me to get a new modem but this (getting faster speeds) require me to change my plan i.e. pay more? https://t.co/gXvljcKlpt,AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.95,
When your internet is SO slow can't even do a #speedtest #comcast https://t.co/3XLSvIEgHe,AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
@115900 my internet is so slow I can’t even use it to browse twitter.  Been like this for months.,AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
I hate how laggy my internet is when I game. I just start bouncing everywhere😑😓 @115900 why aren’t you available in my area https://t.co/H2BbwRiOmF,AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.95,
"@comcastcares I made a payment arrangement agreeing to pay 79$ before 11/10. I made the payment, which they can see is pending.",ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.65,
@comcastcares There’s still no WiFi in all of weymouth currently,AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
@comcastcares Really could use your help! Been trying to get a credit dome on my account and no one seems to be able to get it done?! 😔,ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
"Hey @116136 @comcastcares can y'all come to Phoenix? I'd immediately cancel with my other providers, I miss you!",AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
"@116136 What's up with the Internet outage in San Bruno, CA? It's been down for neatly 4 hours and no response.",AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
@comcastcares Trash. Cancelled.,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
"@comcastcares So, we have a contract which locks in proces, but yet, you increase prices? $9 for local broadcast is OUTRAGEOUS!

@136958",AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
"@ComcastCares
#mobile_Care
I have current service at my residence and want to add internet to my apartment. Can I or is it new account?",ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
"@ComcastCares
#mobile_CareXIwhy does my Router /Modem keep on changing to voice and data mode when I don’t even have a telephone connected",AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.8,
Hey @116136 are you guys fucking with my internet cuz i cancelled by cable? I've never had this many problems before this week,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
@116136 if you didnt have a monopoly of the internet service in my area. Id have been gone so long ago. Worst isp available by far,AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.95,
"@ComcastCares
#mobile_Care I've been having an issue with by bill as well as a payment that was supposed to be returned to me. Help!",ESCALATE,ESCALATE,PAYMENT_ISSUE,0.95,Customer appears highly frustrated
@comcastcares I understand.  Thanks for responding to me.  What is the reasoning for that channel no longer being available?  Is it off the air completely or just off of Comcast availability?,AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.65,
@comcastcares my @115900 Stream TV Beta app caught in activation loop. Error createDrmSession.403-192. ‘This device can only access Xfinity stream on your in-home XFINITY WiFi’. I’m on my Home COMCAST WiFi Network. Can’t activate? Frustrated!,AUTO_HANDLE,ESCALATE,TECHNICAL_ISSUE,0.65,Customer appears highly frustrated
"@comcastcares my internet service was running slow and then died completely today and now my modem won't connect at all, i tried unplugging it for 5 minutes and plugging it back in, no luck.",AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
"@ComcastCares
#mobile_Care my internet and cable just went down! Miami Lakes FL 33018",AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
@115900 if you charge a premium price for on-demand then that means we pay to watch those shows. You’re making your money from us. So explain to me why I can fast forward through the show but you force me to sit through commercials? #ondemandisnot #ondemandisBS,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.8,
"@116136 planned to do stuff with family thinking no way you could mess up a two hour time gap, now I know for future to plan for all day appointment",AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
@comcastcares The phone number on the account?,ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
"@ComcastCares
#mobile_CareXI
Internet real slow. 2.02Mbps. How can I resolve?",AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
Do you like static? Do you like paying for service you rarely get? Broken picture? No problem! Check out @115900 @comcastcares #xfinity https://t.co/Ks9sKb0M4z,ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.95,
"@ComcastCares
#mobile_Care- please can you let us know ETA for restoring Xfinity service in my area.I am in Santa Rosa CA",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.95,
"@ComcastCares
#mobile_Care account info",ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
"@ComcastCares
#mobile_Care I would like to know the remaining time on my contract and the fee to cancel.",AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
@comcastcares I signed up for a complete package that doesn't let me change my package for 2 years and I feel like no one cares about the service,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
"@comcastcares My cable is still not working correctly,i was on the phone for almost 2 hours and it’s getting frustrating especially because i just got the service today 😩😩😭",AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.8,
"@comcastcares Yikes, let me get your Full name, Mothers Maiden, credit card info (don't forget the code on the back) and DM me that birth certificate 1st",ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.8,
"@ComcastCares
#mobile_Care upgraded to 150mb from 25mb on Saturday and still only getting 25mb!",AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
@comcastcares I’m sorry do you not read what I write I don’t want to hear the same clichés all the time I need action contact is Queenie woman she’s in charge of the southeast I believe,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
@115900 internet you truly suck💩. Upgraded my speed and service speeds became worst. https://t.co/TZ9bF3oTzq,AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
